feature,gain_importance
pen_diff,17.307573318481445
ppr_diff,15.191518783569336
bucket_ppr,13.104811668395996
bucket_pen,12.08877182006836
pos_in_bucket_pen,11.803977012634277
dist_diff,10.700047492980957
bucket_dist,4.716320037841797
