Model,Cancer,Recall@1,Recall@3,Recall@5,Recall@10,NDCG@5,NDCG@10
LightGBM,breast,0.4581673306772908,0.6733067729083665,0.8227091633466136,1.0,0.6478953323857404,0.7059377544401304
XGBoost,breast,0.4123505976095618,0.6852589641434262,0.8207171314741036,1.0,0.6262606139841436,0.6853697154471862
CatBoost,breast,0.31274900398406374,0.5956175298804781,0.7689243027888446,1.0,0.5489807148203789,0.6251066691920452
