feature,gain_importance,split_importance
ppr_diff,59917.8925434351,3281
pos_in_bucket_pen,47774.2007445097,2419
dist_diff,47021.984931916,2874
pen_diff,36616.26510834694,1960
bucket_ppr,1810.878664791584,71
bucket_dist,434.0790256857872,36
bucket_pen,403.05997264385223,23
