iter	Passed	Remaining
252	4858	14346
253	4873	14312
254	4889	14286
255	4906	14259
256	4924	14236
257	4940	14209
258	4958	14186
259	4976	14162
260	4992	14137
261	5006	14102
262	5020	14067
263	5034	14036
264	5048	14001
265	5063	13972
266	5077	13939
267	5096	13921
268	5113	13895
269	5129	13868
270	5145	13842
271	5158	13807
272	5172	13773
273	5186	13741
274	5203	13717
275	5218	13689
276	5232	13656
277	5247	13627
278	5261	13597
279	5278	13573
280	5296	13551
281	5313	13528
282	5328	13500
283	5347	13482
284	5362	13452
285	5377	13424
286	5393	13399
287	5411	13377
288	5428	13355
289	5445	13332
290	5462	13308
291	5477	13281
292	5492	13253
293	5505	13221
294	5518	13189
295	5534	13163
296	5549	13135
297	5566	13111
298	5582	13088
299	5604	13076
300	5622	13056
301	5642	13040
302	5659	13019
303	5678	13000
304	5696	12981
305	5714	12960
306	5732	12941
307	5750	12919
308	5769	12901
309	5786	12878
310	5803	12856
311	5819	12832
312	5840	12818
313	5858	12800
314	5876	12779
315	5893	12757
316	5911	12736
317	5929	12717
318	5948	12698
319	5966	12679
320	5985	12660
321	6002	12638
322	6020	12618
323	6038	12599
324	6054	12574
325	6070	12550
326	6090	12534
327	6105	12509
328	6121	12485
329	6139	12465
330	6155	12441
331	6173	12420
332	6190	12398
333	6206	12375
334	6223	12354
335	6239	12329
336	6253	12302
337	6266	12273
338	6284	12253
339	6300	12230
340	6315	12205
341	6332	12183
342	6349	12161
343	6365	12138
344	6381	12115
345	6397	12091
346	6413	12068
347	6429	12046
348	6444	12021
349	6458	11994
350	6471	11966
351	6486	11940
352	6500	11914
353	6516	11891
354	6531	11867
355	6548	11846
356	6563	11821
357	6578	11797
358	6597	11779
359	6613	11757
360	6627	11731
361	6641	11704
362	6654	11677
363	6670	11654
364	6687	11633
365	6703	11612
366	6719	11589
367	6733	11563
368	6746	11537
369	6760	11510
370	6774	11485
371	6787	11458
372	6803	11437
373	6816	11410
374	6833	11388
375	6850	11369
376	6867	11348
377	6883	11327
378	6900	11306
379	6913	11280
380	6927	11254
381	6940	11229
382	6956	11206
383	6973	11185
384	6986	11160
385	6999	11133
386	7012	11106
387	7024	11080
388	7038	11055
389	7051	11028
390	7066	11005
391	7082	10984
392	7098	10963
393	7114	10943
394	7131	10922
395	7144	10897
396	7158	10872
397	7171	10847
398	7184	10821
399	7197	10796
400	7210	10770
401	7224	10746
402	7239	10723
403	7252	10699
404	7266	10676
405	7281	10653
406	7297	10632
407	7311	10609
408	7326	10586
409	7349	10575
410	7365	10555
411	7382	10535
412	7399	10517
413	7417	10499
414	7435	10481
415	7455	10466
416	7472	10446
417	7489	10428
418	7506	10408
419	7521	10387
420	7537	10366
421	7551	10342
422	7566	10320
423	7585	10304
424	7601	10284
425	7617	10264
426	7636	10247
427	7649	10223
428	7663	10200
429	7677	10177
430	7691	10153
431	7706	10132
432	7722	10112
433	7738	10091
434	7752	10069
435	7765	10045
436	7778	10021
437	7792	9998
438	7807	9977
439	7824	9957
440	7845	9944
441	7858	9921
442	7876	9903
443	7892	9883
444	7907	9862
445	7921	9839
446	7940	9823
447	7977	9829
448	8001	9818
449	8024	9808
450	8041	9788
451	8059	9771
452	8078	9754
453	8101	9743
454	8119	9725
455	8137	9707
456	8153	9687
457	8169	9668
458	8188	9650
459	8205	9632
460	8220	9611
461	8233	9588
462	8247	9565
463	8260	9542
464	8275	9520
465	8288	9497
466	8303	9477
467	8320	9457
468	8341	9444
469	8360	9427
470	8374	9405
471	8387	9382
472	8402	9362
473	8416	9339
474	8431	9318
475	8446	9298
476	8463	9279
477	8478	9258
478	8491	9236
479	8506	9215
480	8523	9196
481	8537	9174
482	8551	9153
483	8567	9134
484	8588	9119
485	8605	9100
486	8620	9080
487	8634	9059
488	8648	9037
489	8665	9018
490	8686	9004
491	8703	8987
492	8721	8968
493	8739	8951
494	8756	8933
495	8773	8915
496	8790	8896
497	8806	8877
498	8823	8859
499	8842	8842
500	8859	8824
501	8877	8807
502	8895	8789
503	8912	8771
504	8929	8752
505	8944	8732
506	8958	8710
507	8971	8689
508	8987	8669
509	9005	8652
510	9024	8636
511	9042	8618
512	9060	8600
513	9088	8593
514	9110	8579
515	9129	8562
516	9146	8544
517	9161	8524
518	9177	8505
519	9194	8487
520	9211	8468
521	9226	8448
522	9239	8426
523	9252	8405
524	9265	8383
525	9279	8361
526	9292	8340
527	9305	8318
528	9318	8297
529	9335	8278
530	9349	8257
531	9365	8238
532	9382	8220
533	9400	8203
534	9418	8186
535	9434	8167
536	9452	8149
537	9468	8131
538	9483	8110
539	9495	8088
540	9509	8067
541	9526	8050
542	9540	8029
543	9553	8008
544	9567	7987
545	9585	7970
546	9598	7949
547	9612	7928
548	9625	7907
549	9638	7885
550	9652	7865
551	9665	7844
552	9679	7824
553	9693	7803
554	9706	7782
555	9719	7761
556	9732	7740
557	9745	7719
558	9758	7698
559	9772	7678
560	9786	7657
561	9799	7637
562	9812	7616
563	9829	7598
564	9843	7578
565	9858	7559
566	9871	7538
567	9885	7518
568	9898	7497
569	9911	7477
570	9925	7457
571	9938	7436
572	9951	7416
573	9964	7395
574	9978	7375
575	9992	7355
576	10005	7334
577	10018	7314
578	10031	7294
579	10045	7274
580	10058	7254
581	10073	7234
582	10091	7217
583	10105	7198
584	10119	7178
585	10133	7158
586	10146	7138
587	10160	7119
588	10175	7100
589	10188	7080
590	10201	7060
591	10217	7041
592	10233	7023
593	10252	7007
594	10269	6990
595	10286	6972
596	10302	6954
597	10321	6938
598	10344	6925
599	10365	6910
600	10380	6891
601	10396	6873
602	10414	6856
603	10432	6839
604	10448	6821
605	10464	6803
606	10479	6784
607	10493	6765
608	10508	6746
609	10521	6727
610	10535	6707
611	10548	6687
612	10562	6668
613	10580	6651
614	10596	6633
615	10613	6615
616	10628	6597
617	10641	6577
