g1,g2,g3,score
TUBA1B,CCND1,PRDX4,3.657154438994402
TUBA1B,CCND1,ERCC1,3.657154438994402
TUBA1B,CCND1,CCL4,3.657154438994402
TUBA1B,CCND1,CALCA,3.657154438994402
TUBA1B,CCND1,CCNK,3.657154438994402
TUBA1B,CCND1,SLAMF1,3.657154438994402
TUBA1B,CCND1,SNCA,3.657154438994402
CCND1,TAT,POLR2E,3.657154438994402
TUBA1B,CCND1,NOTCH1,3.657154438994402
TUBA1B,CCND1,CES1,3.657154438994402
TUBA1B,CCND1,ATRX,3.657154438994402
TUBA1B,CCND1,GRK5,3.657154438994402
TUBA1B,CCND1,CDSN,3.657154438994402
TUBA1B,CCND1,TUBA1A,3.657154438994402
CCND1,TAT,TUBB3,3.657154438994402
CCND1,TAT,SOD2,3.657154438994402
CCND1,TAT,LIG3,3.657154438994402
CCND1,TAT,CCNK,3.657154438994402
CCND1,TAT,GNAS,3.657154438994402
CCND1,TAT,TP53AIP1,3.657154438994402
EXO1,CCND1,TP53AIP1,3.657154438994402
EXO1,CCND1,BGLAP,3.657154438994402
SHMT1,CCND1,DNMT1,3.657154438994402
KCNA1,CCND1,SLAMF1,3.657154438994402
KCNA1,CCND1,ATRX,3.657154438994402
KCNA1,CCND1,EIF3A,3.657154438994402
KCNA1,CCND1,NOTCH1,3.657154438994402
KCNA1,CCND1,SOX10,3.657154438994402
KCNA1,CCND1,NPPC,3.657154438994402
KCNA1,CCND1,CETP,3.657154438994402
KCNA1,CCND1,AP1S2,3.657154438994402
KCNA1,CCND1,TAT,3.657154438994402
KCNA1,CCND1,TUBB3,3.657154438994402
KCNA1,CCND1,PPM1D,3.657154438994402
KCNA1,CCND1,PIK3C2B,3.657154438994402
CCND1,PYGL,HSPB2,3.657154438994402
CCND1,PYGL,RRM1,3.657154438994402
CCND1,PYGL,LIG3,3.657154438994402
CCND1,PYGL,UBE2L3,3.657154438994402
KCNA1,CCND1,TP53,3.657154438994402
KCNA1,CCND1,HMMR,3.657154438994402
CCND1,PYGL,IRS4,3.657154438994402
KCNA1,CCND1,RBP1,3.657154438994402
TUBA1A,CCND1,EPCAM,3.657154438994402
TP53AIP1,CCND1,CCNK,3.657154438994402
TP53AIP1,CCND1,SOX10,3.657154438994402
TP53AIP1,CCND1,SOX4,3.657154438994402
TP53AIP1,CCND1,RRM1,3.657154438994402
TP53AIP1,CCND1,IFNA1,3.657154438994402
TP53AIP1,CCND1,CETP,3.657154438994402
TP53AIP1,CCND1,SLC22A9,3.657154438994402
TP53AIP1,CCND1,FANCA,3.657154438994402
TP53AIP1,CCND1,TUBA1A,3.657154438994402
TP53AIP1,CCND1,CCL4,3.657154438994402
TP53AIP1,CCND1,HSPB2,3.657154438994402
TP53AIP1,CCND1,TSC22D1,3.657154438994402
TP53AIP1,CCND1,NFE2,3.657154438994402
TP53AIP1,CCND1,BGLAP,3.657154438994402
CCND1,PYGL,SOX10,3.657154438994402
CCND1,PYGL,PPM1D,3.657154438994402
EXO1,CCND1,POLR2F,3.657154438994402
CCND1,MBNL1,POLR2L,3.657154438994402
CCND1,MBNL1,XRCC4,3.657154438994402
CCND1,MBNL1,POLR2D,3.657154438994402
MUC2,CCND1,POLR2L,3.657154438994402
MUC2,CCND1,IL1B,3.657154438994402
MUC2,CCND1,DSCAM,3.657154438994402
MUC2,CCND1,NCOA3,3.657154438994402
MUC2,CCND1,IRS4,3.657154438994402
MUC2,CCND1,BTG2,3.657154438994402
MUC2,CCND1,IKZF1,3.657154438994402
MUC2,CCND1,GSR,3.657154438994402
MUC2,CCND1,KCNA1,3.657154438994402
MUC2,CCND1,GRK5,3.657154438994402
MUC2,CCND1,TSC22D1,3.657154438994402
MUC2,CCND1,TUBA1C,3.657154438994402
MUC2,CCND1,TUBA1A,3.657154438994402
CCND1,MBNL1,SHMT1,3.657154438994402
CCND1,MBNL1,TP53AIP1,3.657154438994402
CCND1,PYGL,AVP,3.657154438994402
CCND1,MBNL1,IFNA1,3.657154438994402
CCND1,PYGL,MUC2,3.657154438994402
CCND1,PYGL,CALM1,3.657154438994402
CCND1,PERP,BTG2,3.657154438994402
CCND1,PYGL,TPPP,3.657154438994402
CCND1,PYGL,DCK,3.657154438994402
CCND1,PYGL,TUBA1C,3.657154438994402
CCND1,MBNL1,POLR2F,3.657154438994402
CCND1,MBNL1,CYP19A1,3.657154438994402
CCND1,MBNL1,HMMR,3.657154438994402
CCND1,MBNL1,SLC22A9,3.657154438994402
CCND1,MBNL1,ESR1,3.657154438994402
CCND1,MBNL1,EXO1,3.657154438994402
CCND1,MBNL1,CDSN,3.657154438994402
CCND1,MBNL1,FKBP1A,3.657154438994402
CCND1,MBNL1,LPAR3,3.657154438994402
TUBA1A,CCND1,ADIPOQ,3.657154438994402
TUBA1A,CCND1,POLR2F,3.657154438994402
TUBA1A,CCND1,NOTCH1,3.657154438994402
ATIC,CCND1,PERP,3.657154438994402
ATIC,CCND1,SULT2A1,3.657154438994402
ATIC,CCND1,TAT,3.657154438994402
ATIC,CCND1,SOX10,3.657154438994402
ATIC,CCND1,IFNA1,3.657154438994402
ATIC,CCND1,TUBA3C,3.657154438994402
ATIC,CCND1,MBNL1,3.657154438994402
ATIC,CCND1,POLR2G,3.657154438994402
ATIC,CCND1,DSCAM,3.657154438994402
ATIC,CCND1,LPAR3,3.657154438994402
ATIC,CCND1,SLCO1B1,3.657154438994402
ATIC,CCND1,NPPC,3.657154438994402
ATIC,CCND1,DNMT1,3.657154438994402
CCND1,DHFR,SOX10,3.657154438994402
CCND1,DHFR,IFNA1,3.657154438994402
CCND1,DHFR,PPM1D,3.657154438994402
ATIC,CCND1,GABPA,3.657154438994402
TUBB3,CCND1,IKZF3,3.657154438994402
TUBA1A,CCND1,TP53,3.657154438994402
TUBB3,CCND1,UBE2L3,3.657154438994402
EXO1,CCND1,SOD2,3.657154438994402
EXO1,CCND1,ATRX,3.657154438994402
TUBB3,CCND1,POLR2D,3.657154438994402
TUBB3,CCND1,RRM1,3.657154438994402
TUBB3,CCND1,ACVR1C,3.657154438994402
TUBB3,CCND1,HSPB2,3.657154438994402
TUBB3,CCND1,POLR2E,3.657154438994402
TUBB3,CCND1,GNAS,3.657154438994402
TUBB3,CCND1,SOD2,3.657154438994402
TUBB3,CCND1,BGLAP,3.657154438994402
TUBB3,CCND1,TPPP,3.657154438994402
TUBB3,CCND1,SOX4,3.657154438994402
TUBB3,CCND1,TUBA1A,3.657154438994402
TUBB3,CCND1,SLC22A11,3.657154438994402
TUBB3,CCND1,ATIC,3.657154438994402
CCND1,DHFR,PRDX4,3.657154438994402
CCND1,DHFR,GNAS,3.657154438994402
CCND1,DHFR,ERCC1,3.657154438994402
CCND1,DHFR,STAG2,3.657154438994402
DSCAM,CCND1,FKBP1A,3.657154438994402
DSCAM,CCND1,IKZF1,3.657154438994402
DSCAM,CCND1,PRKACB,3.657154438994402
DSCAM,CCND1,DHFR,3.657154438994402
DSCAM,CCND1,FANCA,3.657154438994402
TUBA1A,CCND1,CALCA,3.657154438994402
TUBA1A,CCND1,LPAR3,3.657154438994402
TUBA1A,CCND1,AKT1,3.657154438994402
TUBA1A,CCND1,SULT2A1,3.657154438994402
TUBA1A,CCND1,SHMT1,3.657154438994402
TUBA1A,CCND1,POLR2E,3.657154438994402
TUBA1A,CCND1,POLR2H,3.657154438994402
TUBA1A,CCND1,DHFR,3.657154438994402
TUBA1A,CCND1,TUBA4A,3.657154438994402
TUBA1A,CCND1,SLAMF1,3.657154438994402
DSCAM,CCND1,SOX4,3.657154438994402
DSCAM,CCND1,TUBB3,3.657154438994402
DSCAM,CCND1,KLC1,3.657154438994402
CCND1,DHFR,IRS4,3.657154438994402
CCND1,DHFR,TP53AIP1,3.657154438994402
CCND1,DHFR,SNCA,3.657154438994402
CCND1,DHFR,MBNL1,3.657154438994402
CCND1,DHFR,BTG2,3.657154438994402
CCND1,DHFR,TOP2A,3.657154438994402
CCND1,DHFR,CCL4,3.657154438994402
CCND1,DHFR,FKBP1A,3.657154438994402
DSCAM,CCND1,POLR2E,3.657154438994402
DSCAM,CCND1,POLR2L,3.657154438994402
DSCAM,CCND1,ABCG1,3.657154438994402
DSCAM,CCND1,POLR2H,3.657154438994402
DSCAM,CCND1,FANCF,3.657154438994402
DSCAM,CCND1,NPSR1,3.657154438994402
DSCAM,CCND1,TP53,3.657154438994402
SHMT1,CCND1,AP1S2,3.657154438994402
SHMT1,CCND1,PRKACB,3.657154438994402
MUC2,CCND1,ADIPOQ,3.657154438994402
CCND1,GSR,IRS4,3.657154438994402
CCND1,GSR,LPAR3,3.657154438994402
CCND1,GSR,MUTYH,3.657154438994402
CCND1,GSR,SOX4,3.657154438994402
CCND1,GSR,ADIPOQ,3.657154438994402
CCND1,GSR,HNF4A,3.657154438994402
CCND1,GSR,POLR2D,3.657154438994402
CCND1,GSR,TUBA1C,3.657154438994402
CCND1,GSR,GABPA,3.657154438994402
CCND1,GSR,S100A12,3.657154438994402
CCND1,GSR,RRM1,3.657154438994402
CCND1,GSR,PRKACB,3.657154438994402
CCND1,GSR,KCNA1,3.657154438994402
CCND1,GSR,LIG3,3.657154438994402
CCND1,SLC22A9,KCNA1,3.657154438994402
CCND1,SLC22A9,DHFR,3.657154438994402
CCND1,GSR,SNCA,3.657154438994402
ERCC1,CCND1,CALM1,3.657154438994402
CCND1,SLC22A9,S100A12,3.657154438994402
ERCC1,CCND1,POLR2L,3.657154438994402
XRCC1,CCND1,GNAS,3.657154438994402
XRCC1,CCND1,RRM1,3.657154438994402
XRCC1,CCND1,PPM1D,3.657154438994402
ERCC1,CCND1,POLR2I,3.657154438994402
ERCC1,CCND1,FANCF,3.657154438994402
ERCC1,CCND1,CES1,3.657154438994402
ERCC1,CCND1,POLR2D,3.657154438994402
ERCC1,CCND1,TAT,3.657154438994402
ERCC1,CCND1,IFNA1,3.657154438994402
ERCC1,CCND1,SLC22A9,3.657154438994402
ERCC1,CCND1,TOP2A,3.657154438994402
ERCC1,CCND1,MBNL1,3.657154438994402
ERCC1,CCND1,ESR1,3.657154438994402
ERCC1,CCND1,HSPB2,3.657154438994402
ERCC1,CCND1,PRKACG,3.657154438994402
CCND1,SLC22A9,IL1B,3.657154438994402
CCND1,SLC22A9,FANCA,3.657154438994402
EPCAM,CCND1,PERP,3.657154438994402
S100A12,CCND1,TUBA1C,3.657154438994402
S100A12,CCND1,TAT,3.657154438994402
S100A12,CCND1,CCNK,3.657154438994402
S100A12,CCND1,TPPP,3.657154438994402
S100A12,CCND1,ERCC1,3.657154438994402
EPCAM,CCND1,CES1,3.657154438994402
EPCAM,CCND1,KLC1,3.657154438994402
EPCAM,CCND1,ALCAM,3.657154438994402
EPCAM,CCND1,CETP,3.657154438994402
EPCAM,CCND1,XRCC1,3.657154438994402
EPCAM,CCND1,IFNA1,3.657154438994402
EPCAM,CCND1,NFE2,3.657154438994402
EPCAM,CCND1,SLC22A9,3.657154438994402
EPCAM,CCND1,SULT2A1,3.657154438994402
EPCAM,CCND1,AKR7A2,3.657154438994402
EPCAM,CCND1,AKT1,3.657154438994402
S100A12,CCND1,ADIPOQ,3.657154438994402
S100A12,CCND1,XPC,3.657154438994402
CCND1,SLC22A9,AP1S2,3.657154438994402
S100A12,CCND1,EIF3A,3.657154438994402
CCND1,SLC22A9,PLK2,3.657154438994402
CCND1,SLC22A9,TOP2A,3.657154438994402
CCND1,SLC22A9,SDHB,3.657154438994402
CCND1,SLC22A9,ATRX,3.657154438994402
CCND1,SLC22A9,TUBA3C,3.657154438994402
CCND1,SLC22A9,AKT1,3.657154438994402
CCND1,SLC22A9,CDSN,3.657154438994402
CCND1,SLC22A9,TPPP,3.657154438994402
CCND1,SLC22A9,DNMT1,3.657154438994402
S100A12,CCND1,DHFR,3.657154438994402
S100A12,CCND1,CDH17,3.657154438994402
S100A12,CCND1,GNAS,3.657154438994402
S100A12,CCND1,IFNA1,3.657154438994402
S100A12,CCND1,PRKACB,3.657154438994402
S100A12,CCND1,IL1B,3.657154438994402
XRCC1,CCND1,IL1B,3.657154438994402
XRCC1,CCND1,RBP1,3.657154438994402
XRCC1,CCND1,AKR7A2,3.657154438994402
CCND1,PIK3C2B,PERP,3.657154438994402
ALCAM,CCND1,AKT1,3.657154438994402
ALCAM,CCND1,SLC22A9,3.657154438994402
ALCAM,CCND1,EXO1,3.657154438994402
ALCAM,CCND1,ADIPOQ,3.657154438994402
ALCAM,CCND1,PLK2,3.657154438994402
ALCAM,CCND1,MUC2,3.657154438994402
ALCAM,CCND1,XPC,3.657154438994402
ALCAM,CCND1,FKBP1A,3.657154438994402
ALCAM,CCND1,GABPA,3.657154438994402
ALCAM,CCND1,MBNL1,3.657154438994402
ALCAM,CCND1,PYGL,3.657154438994402
ALCAM,CCND1,UBE2L3,3.657154438994402
ALCAM,CCND1,TUBA1B,3.657154438994402
ALCAM,CCND1,KLC1,3.657154438994402
ALCAM,CCND1,TAT,3.657154438994402
CCND1,PIK3C2B,EIF3A,3.657154438994402
CCND1,PIK3C2B,SULT2A1,3.657154438994402
XRCC1,CCND1,SOX4,3.657154438994402
CCND1,PIK3C2B,GRK5,3.657154438994402
CCND1,PERP,SLC22A9,3.657154438994402
CCND1,PERP,NR1I3,3.657154438994402
CCND1,PERP,FANCA,3.657154438994402
CCND1,PERP,TOP2A,3.657154438994402
CCND1,PIK3C2B,EPCAM,3.657154438994402
CCND1,PIK3C2B,NCOA3,3.657154438994402
CCND1,PIK3C2B,ESR1,3.657154438994402
CCND1,PIK3C2B,FBXW7,3.657154438994402
CCND1,PIK3C2B,XPC,3.657154438994402
CCND1,PIK3C2B,HSPB2,3.657154438994402
CCND1,PIK3C2B,DCK,3.657154438994402
CCND1,PIK3C2B,IFNA1,3.657154438994402
CCND1,PIK3C2B,TSC22D1,3.657154438994402
CCND1,PIK3C2B,DNMT1,3.657154438994402
CCND1,PIK3C2B,ABCG1,3.657154438994402
CCND1,CYP19A1,TUBA3C,3.657154438994402
CCND1,CYP19A1,FANCA,3.657154438994402
CCND1,CYP19A1,ATRX,3.657154438994402
CCND1,CYP19A1,POLR2F,3.657154438994402
CCND1,SLC22A11,XRCC4,3.657154438994402
CCND1,SLC22A11,PRDX4,3.657154438994402
CCND1,SLC22A11,CDH17,3.657154438994402
CCND1,SLC22A11,RBP1,3.657154438994402
CCND1,SLC22A11,ALCAM,3.657154438994402
CCND1,SLC22A11,GABPA,3.657154438994402
CCND1,SLC22A11,TUBA1C,3.657154438994402
XRCC1,CCND1,KLC1,3.657154438994402
XRCC1,CCND1,PRDX4,3.657154438994402
XRCC1,CCND1,CDH17,3.657154438994402
XRCC1,CCND1,XRCC4,3.657154438994402
XRCC1,CCND1,POLR2E,3.657154438994402
XRCC1,CCND1,POLR2F,3.657154438994402
XRCC1,CCND1,CES1,3.657154438994402
XRCC1,CCND1,HNF4A,3.657154438994402
CCND1,SLC22A11,TSC22D1,3.657154438994402
CCND1,SLC22A11,SHMT1,3.657154438994402
CCND1,SLC22A11,AKR7A2,3.657154438994402
CCND1,CYP19A1,ATIC,3.657154438994402
CCND1,CYP19A1,EXO1,3.657154438994402
CCND1,CYP19A1,DHFR,3.657154438994402
CCND1,CYP19A1,ADIPOQ,3.657154438994402
CCND1,CYP19A1,SNCA,3.657154438994402
CCND1,CYP19A1,PRKACG,3.657154438994402
CCND1,CYP19A1,SOD2,3.657154438994402
CCND1,CYP19A1,PERP,3.657154438994402
CCND1,SLC22A11,POLR2E,3.657154438994402
CCND1,CYP19A1,CETP,3.657154438994402
CCND1,CYP19A1,AKT1,3.657154438994402
CCND1,CYP19A1,PRDX4,3.657154438994402
CCND1,SLC22A11,KLC1,3.657154438994402
CCND1,SLC22A11,PIK3C2B,3.657154438994402
CCND1,SLC22A11,SOX4,3.657154438994402
EPCAM,CCND1,CALM1,3.657154438994402
EPCAM,CCND1,TAT,3.657154438994402
SHMT1,CCND1,POLR2G,3.657154438994402
CCND1,DCK,PRDX4,3.657154438994402
CCND1,DCK,IKZF3,3.657154438994402
CCND1,DCK,AKR7A2,3.657154438994402
CCND1,DCK,BTG2,3.657154438994402
CCND1,DCK,CDSN,3.657154438994402
CCND1,DCK,HNF4A,3.657154438994402
CCND1,NPSR1,DNMT1,3.657154438994402
CCND1,NPSR1,TUBA1B,3.657154438994402
CCND1,NPSR1,AP1S2,3.657154438994402
CCND1,NPSR1,POLR2E,3.657154438994402
CCND1,NPSR1,ATRX,3.657154438994402
CCND1,NPSR1,GRK5,3.657154438994402
CCND1,NPSR1,SOD2,3.657154438994402
CCND1,NPSR1,PIK3C2A,3.657154438994402
CCND1,NPSR1,EIF3A,3.657154438994402
CCND1,NPSR1,CALCA,3.657154438994402
CCND1,DCK,POLR2I,3.657154438994402
CCND1,DCK,NPPC,3.657154438994402
CCND1,NPSR1,PRKACB,3.657154438994402
CCND1,DCK,TPPP,3.657154438994402
CCND1,PERP,MUC2,3.657154438994402
CCND1,PERP,CCL4,3.657154438994402
CCND1,PERP,TUBA4A,3.657154438994402
CCND1,PERP,PIK3C2B,3.657154438994402
CCND1,PERP,CALCA,3.657154438994402
CCND1,PERP,HSPB2,3.657154438994402
CCND1,PERP,TUBB3,3.657154438994402
CCND1,PERP,SLCO1B1,3.657154438994402
CCND1,PERP,SDHB,3.657154438994402
CCND1,DCK,UBE2L3,3.657154438994402
CCND1,DCK,ACVR1C,3.657154438994402
CCND1,DCK,KLC1,3.657154438994402
CCND1,DCK,FANCF,3.657154438994402
CCND1,DCK,GRK5,3.657154438994402
CCND1,DCK,NPSR1,3.657154438994402
CCND1,NPSR1,POLR2F,3.657154438994402
CCND1,NPSR1,DHFR,3.657154438994402
EPCAM,CCND1,DHFR,3.657154438994402
CCND1,CDH17,POLR2E,3.657154438994402
CCND1,CDH17,XPC,3.657154438994402
CCND1,CDH17,DCK,3.657154438994402
CCND1,CDH17,POLR2G,3.657154438994402
CCND1,CDH17,AKT1,3.657154438994402
CCND1,CDH17,S100A12,3.657154438994402
CCND1,CDH17,TUBA3C,3.657154438994402
CCND1,CDH17,NPSR1,3.657154438994402
CCND1,CDH17,GABPA,3.657154438994402
