bucket,range,candidate_count,known_count,percentage_of_all_known_in_bucket,coverage_1,coverage_10,coverage_20,coverage_50
0,-0.0137238 - -0.0109004,580,6,0.002232973576479345,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
1,-0.0109004 - -0.00807693,1660,1,0.0003721622627465575,0.0,0.0,1.0,1.0
2,-0.00807693 - -0.00525349,98293,233,0.0867138072199479,0.0,0.017167381974248927,0.03862660944206009,0.12017167381974249
3,-0.00525349 - -0.00243005,130540,85,0.03163379233345739,0.0,0.10588235294117647,0.12941176470588237,0.4470588235294118
4,-0.00243005 - 0.000393391,3044447,2362,0.8790472646073688,0.18882303132938189,0.4170194750211685,0.5071972904318375,0.6850127011007621
