group_id,label,pen_diff,dist_diff,ppr_diff,bucket_pen,bucket_dist,bucket_ppr,pos_in_bucket_pen
0,1,1.4486543775679692,0.551412092283214,-0.0067073062545531,3.0,2.0,2.0,0.3437774419847618
0,0,1.520334670862841,0.6040672235481299,-0.0006629347443171,3.0,2.0,4.0,0.5087139758085614
0,0,1.399848247224421,0.5953410898965794,-0.0008461356831681,3.0,2.0,4.0,0.2314744142180862
0,0,1.491144842206502,0.5372165871121721,-0.0013094373616452,3.0,2.0,4.0,0.4415481071969214
0,0,1.5248736275024326,0.6732547732696901,-0.0011358348104087,3.0,2.0,4.0,0.5191581263679221
0,0,1.4259037852959242,0.52118138424821,-0.00086811743928,3.0,2.0,4.0,0.2914282723691558
0,0,1.4111874005594842,0.6288036992840098,-0.0005732855581711,3.0,2.0,4.0,0.2575658343506504
0,0,1.5118047644025,0.6858840493237865,-0.000996548617711,3.0,2.0,4.0,0.489086639748114
0,0,1.3814920600576848,0.4647225536992838,-0.0007023509330217,3.0,2.0,4.0,0.1892367817205783
1,1,1.3316520609319138,0.6198786793953857,-0.0011811192662947,3.0,2.0,4.0,0.0745548193049196
1,0,1.4753713502054395,0.536421042163882,-0.0013570310387943,3.0,2.0,4.0,0.4052532627234155
1,0,1.389340532389209,0.6639568416865553,-0.001020637301381,3.0,2.0,4.0,0.2072961361493946
1,0,1.4998074416469898,0.5982000795544948,-0.0008459545884253,3.0,2.0,4.0,0.4614807701359593
1,0,1.326252661945981,0.501988862370724,-0.0006333066153139,3.0,2.0,4.0,0.0621307887585041
1,0,1.4821626278520847,0.5522324980111377,-0.0010715688662588,3.0,2.0,4.0,0.4208800095430027
1,0,1.3503594282717124,0.5854713603818613,-0.0011924582392641,3.0,2.0,4.0,0.1176005182573776
1,0,1.440146822274671,0.627958432776452,-0.0012733742789398,3.0,2.0,4.0,0.3242015360154802
1,0,1.5434386900078776,0.5594918456642799,-0.000839130181905,3.0,2.0,4.0,0.5618763815412635
2,1,1.406648369612725,0.5381861575178997,-0.0006448166338067,3.0,2.0,4.0,0.2471215128103117
2,0,1.3355680588338128,0.6353172235481308,-0.001017911143722,3.0,2.0,4.0,0.0835655402536117
2,0,1.4260554790628568,0.6339996022275258,-0.0008838855251434,3.0,2.0,4.0,0.2917773201055764
2,0,1.3682219009528822,0.6999552505966591,-0.0007160965208683,3.0,2.0,4.0,0.1587021124910223
2,0,1.316089315062504,0.4640761734287988,-0.0008155554308773,3.0,2.0,4.0,0.0387449022064811
2,0,1.330971258414218,0.5686903341288785,-0.0006906002488661,3.0,2.0,4.0,0.0729882910120547
2,0,1.4619317859952885,0.6213206046141604,-0.0011620954171974,3.0,2.0,4.0,0.374328791923527
2,0,1.3058203820264005,0.5421141607000797,-0.0009297732690195,3.0,2.0,4.0,0.0151160616536651
2,0,1.306082022029881,0.7022921638822592,-0.0011380702678129,3.0,2.0,4.0,0.0157180959548669
3,1,0.6049783919052079,-1.8499403341288785,-0.0001632884103852,1.0,0.0,4.0,0.3219018792096796
3,0,0.7223737936011556,-1.241554054054054,-0.000299831373386,1.0,1.0,4.0,0.6286694937049679
3,0,0.6801526990998976,-1.2200178997613365,-0.0003179038550858,1.0,1.0,4.0,0.5183409437411739
3,0,0.7845042289539013,-1.034805091487669,-0.0005761769520383,1.0,1.0,4.0,0.791023428913432
3,0,0.7238656657053717,-1.1926710421638822,-0.0005175616038326,1.0,1.0,4.0,0.6325679261812908
3,0,0.7056175037156969,-0.89618138424821,-0.0004961618960786,1.0,1.0,4.0,0.5848833913389915
3,0,0.6559299632838265,-1.055986475735879,-0.0002741583716823,1.0,1.0,4.0,0.4550441640079161
3,0,0.6914355341379199,-0.9554494828957836,-0.0003888734546432,1.0,1.0,4.0,0.5478242824354989
3,0,0.6732173354317439,-1.2732199681782022,-0.0002964928989486,1.0,1.0,4.0,0.5002180450807381
4,1,1.5459891096249585,0.7331391721271414,-0.0067113307916287,3.0,2.0,2.0,0.5677449034473764
4,0,1.4391081563073893,0.5690881066030231,-0.0007021347161596,3.0,2.0,4.0,0.3218115630317001
4,0,1.6354068603024867,0.8313444709626094,-0.0030086426768942,3.0,2.0,3.0,0.7734953709908367
4,0,1.3532331869044398,0.5437549721559272,-0.0007427551909991,3.0,2.0,4.0,0.1242130440457199
4,0,1.4626421540344552,0.5168307478122509,-0.0008210134464568,3.0,2.0,4.0,0.3759633505551076
4,0,1.5501232384823815,0.59767800318218,-0.0007543780957821,3.0,2.0,4.0,0.5772575442693006
4,0,1.3059217632660278,0.5620525059665873,-0.000756115469195,3.0,2.0,4.0,0.0153493401391493
4,0,1.595263519538431,0.600288385043755,-0.0052091743652919,3.0,2.0,3.0,0.6811254436735236
4,0,1.5335642473118298,0.7188494431185362,-0.0010735345355306,3.0,2.0,4.0,0.5391552642457743
5,1,0.6575789186120922,-1.4593774860779634,-0.0001561132566651,1.0,1.0,4.0,0.4593530729187735
5,0,0.7834869831282312,-1.000447494033413,-0.0009178812816388,1.0,1.0,4.0,0.7883652491995082
5,0,0.6217308680831781,-1.0965095465393797,-0.0002218555739283,1.0,1.0,4.0,0.3656780159217062
5,0,0.6719045043276317,-1.0485282418456645,-0.0002633454611583,1.0,1.0,4.0,0.4967874672197178
5,0,0.676622388320979,-1.303898170246619,-0.0002749528252905,1.0,1.0,4.0,0.509115837813424
5,0,0.7592452443398656,-1.05543953858393,-0.0003392358070945,1.0,1.0,4.0,0.7250188125257326
5,0,0.7534551730923695,-1.0429594272076372,-0.0004530701796208,1.0,1.0,4.0,0.709888693980268
5,0,0.8284985772361004,-1.031672633253779,-0.0025469486746763,1.0,1.0,3.0,0.9059856938644876
5,0,0.8071216889591408,-0.9145286396181384,-0.0005825739173138,1.0,1.0,4.0,0.8501254393117612
6,1,1.4687868957076686,0.7465443516308676,-0.0010673135215062,3.0,2.0,4.0,0.3901024164857292
6,0,1.533147707404484,0.6486177406523468,-0.0010696167224465,3.0,2.0,4.0,0.5381968048790652
6,0,1.4196184587813685,0.5533512330946699,-0.000863498613923,3.0,2.0,4.0,0.2769657203676309
6,0,1.5967550113646354,0.7047782418456645,-0.0009693843146729,3.0,2.0,4.0,0.68455737008918
6,0,1.401769523122649,0.6212460222752587,-0.0017306527833599,3.0,2.0,4.0,0.23589527485644
6,0,1.4630605144680642,0.7917412490055691,-0.0016142686969608,3.0,2.0,4.0,0.376925998957293
6,0,1.353767182446045,0.6400035941866702,-0.0005974168956201,3.0,2.0,4.0,0.1254417691200918
6,0,1.5658172545676994,0.5300318217979321,-0.0007952856634609,3.0,2.0,4.0,0.6133695144622641
6,0,1.4427199864498714,0.6250497215592681,-0.001296744251344,3.0,2.0,4.0,0.3301223932066088
7,1,0.676237380890278,-1.1863066825775657,-0.0003695596160643,1.0,1.0,4.0,0.5081097693527102
7,0,0.6969498382729018,-1.217332935560859,-0.0003064586645247,1.0,1.0,4.0,0.562233789968606
7,0,0.8011829945802802,-1.2905727923627686,-0.0004219746447952,1.0,1.0,4.0,0.8346069515217702
7,0,0.6879509944054387,-1.3322891805887032,-0.0003219402168778,1.0,1.0,4.0,0.5387187814882313
7,0,0.7829578131832964,-1.363315433571997,-0.001483043711884,1.0,1.0,4.0,0.786982467597119
7,0,0.7383181659239213,-1.6556782020684166,-0.0004530021645571,1.0,0.0,4.0,0.6703339625974354
7,0,0.6966806910572334,-1.2773965791567223,-0.0003815403507322,1.0,1.0,4.0,0.5615304775040131
7,0,0.8571613799286304,-1.2949980111376291,-0.0008128417209405,1.0,1.0,4.0,0.9808848762831464
7,0,0.6160681681094182,-1.0844769291964995,-0.0002500819291919,1.0,1.0,4.0,0.3508807330856033
8,1,1.2792916142145554,0.6218426809864757,-0.0006594223898298,2.0,2.0,4.0,0.9540690155738588
8,0,1.1516752382201076,0.4584079156722351,-0.0005642441614799,2.0,2.0,4.0,0.6603836369621336
8,0,1.2337541480898846,0.623408910103421,-0.0008837831705925,2.0,2.0,4.0,0.8492729980124103
8,0,1.2004739247311829,0.5790324184566424,-0.0008124232529261,2.0,2.0,4.0,0.7726847473179357
8,0,1.286360097036452,0.5946201272871914,-0.0010375950326533,2.0,2.0,4.0,0.970335815485568
8,0,1.142709871929374,0.5317472155926808,-0.0005811347203435,2.0,2.0,4.0,0.6397515121821489
8,0,1.2554660612816004,0.6208233890214796,-0.0005572136102125,2.0,2.0,4.0,0.8992389322148625
8,0,1.2624384277471918,0.6342979315831343,-0.0010380254654501,2.0,2.0,4.0,0.915284538190666
8,0,1.2508081628638834,0.7310809466984884,-0.0009948815565299,2.0,2.0,4.0,0.8885196444300276
9,1,0.743061320919999,-1.133552108194113,-0.0003423094728737,1.0,1.0,4.0,0.6827283692122422
9,0,0.7100933604339215,-0.8467084327764518,-0.0007575822054657,1.0,1.0,4.0,0.5965793169752326
9,0,0.8544433757324619,-1.6848150357995229,-0.0002582005370688,1.0,0.0,4.0,0.973782420382818
9,0,0.8393421256231992,-0.7349343675417661,-0.0013208160164836,1.0,1.0,4.0,0.9343211262861932
9,0,0.6608091375997631,-1.309516706443914,-0.0001993246750205,1.0,1.0,4.0,0.4677940046659274
9,0,0.6659259375823066,-1.4852326968973748,-0.0003008902280915,1.0,1.0,4.0,0.4811647883748141
9,0,0.7328941625145298,-1.2743138424821003,-0.0004260936330698,1.0,1.0,4.0,0.6561604211905679
9,0,0.7337362029026853,-1.0450974542561655,-0.000911697272373,1.0,1.0,4.0,0.658360769053018
9,0,0.8111966080954378,-1.3394490851233094,-0.0011272668448367,1.0,1.0,4.0,0.8607736691797474
10,1,1.3620589343474112,0.5153639618138426,-0.001024589504126,3.0,2.0,4.0,0.144521110945777
