bucket,range,candidate_count,known_count,percentage_of_all_known_in_bucket,coverage_1,coverage_10,coverage_20,coverage_50
0,-2.95487 - -1.59584,12449,163,0.06066244882768887,0.0,0.04294478527607362,0.07975460122699386,0.3619631901840491
1,-1.59584 - -0.236819,135051,824,0.3066617045031634,0.027912621359223302,0.16140776699029127,0.2621359223300971,0.5776699029126213
2,-0.236819 - 1.12221,3123808,1524,0.5671752884257536,0.02690288713910761,0.11220472440944881,0.2001312335958005,0.5150918635170604
3,1.12221 - 2.48123,2241,0,0.0,0.0,0.0,0.0,0.0
4,2.48123 - 3.84026,260,0,0.0,0.0,0.0,0.0,0.0
