gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
NR3C1,MBP,0,-0.2081621590393334,1,-7.4427991502080895,2
VWF,IFNG,0,-0.3054769219659254,1,-2.8706296177438357,1
TOP2A,PIM1,1,0.0420113811746816,1,5.540311712446053,34
PON1,BCL2,1,0.045337560351589,1,-4.642574481513527,54
APOE,ITGB2,1,0.0846585255643095,1,-4.399923256218053,53
BRD4,GAS6,1,0.044237537655265,1,-5.491626455227735,55
TOP2A,MYCN,1,0.0421773387531878,1,11.847407429592534,9
ANXA1,BMP7,1,-0.007816624025084,1,-0.8825671161037619,39
PON1,RBX1,1,0.1036237506705752,1,-10.753776192832865,67
BIRC5,FOXP3,1,-0.0962716357859072,1,-6.515501174896712,57
BARD1,FBXW7,1,-0.0055144864441061,1,-5.770402919339265,56
TUBA1A,ACSS2,1,0.0405411133580777,1,12.725077060267227,6
IRS1,CCNK,1,-0.0335650703583496,1,6.236711708805957,31
TUBB3,BARD1,1,0.0244509202329901,1,11.118402874837871,11
TUBA1A,BCL2,1,0.0133790389141275,1,13.257445150531384,2
BARD1,NR1I3,1,0.095143535674488,1,-8.638252292608907,63
TUBB3,EPHX1,1,0.0433820018159565,1,12.960231627137462,5
VWF,APOE,1,0.0011851566046274,1,-7.5896773113159215,60
MAP3K1,NR1I3,1,0.1123949882391759,1,-3.84416512003555,48
BIRC5,CCNK,1,-0.0210515247800007,1,9.305756431239521,14
PTPRC,MC2R,1,0.0290571926714005,1,7.820585666374963,24
SLC10A2,RRM1,1,-0.0175599698755331,1,0.1624059474512497,38
GSTM1,BMP7,1,0.1244904469112331,1,-9.105001801451255,64
BIRC5,NOS3,1,0.1048279247307277,1,-7.807663772799755,61
GATA3,MBP,1,-0.0614424916436249,1,-1.9113781670965582,44
MDM4,HMMR,1,0.0036424937071757,1,9.278896790440468,17
BCL2,PPP2R5D,1,-0.0236936347129939,1,-4.2084605011845255,50
TUBA1B,IGF2,1,-0.0220686852636404,1,7.377967313648932,26
MDM4,GAS6,1,0.0522973218338496,1,-1.3346511117879938,41
BRD4,MAP3K1,1,0.0372850823257628,1,-7.449996986530444,59
SOX10,MAP3K1,1,0.0417023727976779,1,6.949409066955823,28
BRD4,KLK3,1,0.0747895865142656,1,3.0669393853267564,36
ERCC2,ACTR2,1,-0.0694673193576509,1,8.820376953158688,19
XRCC1,BARD1,1,0.0244509202329901,1,11.118402874837871,12
TUBA1B,ACSS2,1,0.0405411133580777,1,12.725077060267227,7
TUBB3,MAP3K1,1,0.0417023727976779,1,6.949409066955823,29
SLIT1,MYCN,1,0.067271105517257,1,-9.111486742585718,65
