g1,g2,g3,score
CASP10,MC2R,UBQLN1,0.7929018940668361
CASP10,MC2R,NOTCH1,0.7929018940668361
CASP10,MC2R,NFE2L2,0.7929018940668361
CASP10,TOP2A,UBQLN1,0.7929018940668361
CASP10,CYP17A1,TP53AIP1,0.7929018940668361
CASP10,PPP1R13L,TP53AIP1,0.7929018940668361
ACTR2,CASP10,XRCC1,0.7929018940668361
ACVR1,TUBB3,XRCC4,0.7929018940668361
ACVR1,DNMT1,XRCC1,0.7929018940668361
ACVR1,NCKAP1L,XRCC1,0.7929018940668361
ACVR1,TUBA1C,XRCC1,0.7929018940668361
ACVR1,MC2R,XRCC1,0.7929018940668361
ACVR1,PLA2G1B,XRCC1,0.7929018940668361
ACVR1,TOP2A,XRCC1,0.7929018940668361
ACVR1,TUBA1B,XRCC4,0.7929018940668361
ACVR1,TUBA1C,XRCC4,0.7929018940668361
ACVR1,IFNAR1,XRCC4,0.7929018940668361
ACVR1,NOTCH1,XRCC4,0.7929018940668361
ACVR1,PLA2G1B,XRCC4,0.7929018940668361
CASP10,PAPOLA,TP53AIP1,0.7929018940668361
ACVR1,GNRHR2,XRCC4,0.7929018940668361
ACVR1,MC2R,XRCC4,0.7929018940668361
COPS5,NCKAP1L,TOP2A,0.7929018940668361
GNRHR2,MC2R,RUNX1,0.7929018940668361
CASP10,IFNAR2,MC2R,0.7929018940668361
CASP10,MC2R,RUNX1,0.7929018940668361
ACVR1,CASP10,MC2R,0.7929018940668361
CASP10,MC2R,TUBB3,0.7929018940668361
CASP10,CYP17A1,MC2R,0.7929018940668361
CASP10,TP53AIP1,UBQLN1,0.7929018940668361
CASP10,TOP2A,TUBA1A,0.7929018940668361
CASP10,CYP17A1,DEK,0.7929018940668361
CASP10,NOTCH1,SOX10,0.7929018940668361
CASP10,IRS1,PAPOLA,0.7929018940668361
CASP10,RRM1,XRCC1,0.7929018940668361
CASP10,TUBA1A,XRCC1,0.7929018940668361
CASP10,NCKAP1L,XRCC1,0.7929018940668361
