bucket,range,candidate_count,known_count,percentage_of_all_known_in_bucket,coverage_1,coverage_10,coverage_20,coverage_50
0,-2.71345 - -1.56967,29876,122,0.27111111111111114,0.0,0.06557377049180328,0.21311475409836064,0.45901639344262296
1,-1.56967 - -0.425881,18331,68,0.1511111111111111,0.014705882352941176,0.17647058823529413,0.17647058823529413,0.5294117647058824
2,-0.425881 - 0.717904,2396972,230,0.5111111111111111,0.004347826086956522,0.07391304347826087,0.2,0.4391304347826087
3,0.717904 - 1.86169,2920,0,0.0,0.0,0.0,0.0,0.0
4,1.86169 - 3.00547,1460,0,0.0,0.0,0.0,0.0,0.0
