bucket,range,candidate_count,known_count,coverage_50_pen,coverage_50_dist,coverage_50_ppr,novelty,exploitation,W,W_norm
0,-0.512647 - -0.184704,24575,10,0.1,0.45901639344262296,0.0,0,0.18770491803278688,0.056311475409836075,0.05497902232680813
1,-0.184704 - 0.14324,1645798,367,0.4332425068119891,0.5294117647058824,0.0,0,0.3754447828177593,0.1126334348453278,0.10996828060421784
2,0.14324 - 0.471183,741637,71,0.5211267605633803,0.4391304347826087,0.0,0,0.3923025107164727,0.11769075321494182,0.11490593172298465
3,0.471183 - 0.799126,37179,2,0.0,0.0,0.0,0,0.0,0.0,0.0
4,0.799126 - 1.12707,602,0,0.0,0.0,0.6266666666666667,1,0.12533333333333335,0.7375999999999999,0.7201467653459894
