bucket,range,candidate_count,known_count,percentage_of_all_known_in_bucket,coverage_1,coverage_10,coverage_20,coverage_50
0,-0.512647 - -0.184704,24575,10,0.022222222222222223,0.0,0.0,0.0,0.1
1,-0.184704 - 0.14324,1645798,367,0.8155555555555556,0.0027247956403269754,0.04904632152588556,0.07901907356948229,0.4332425068119891
2,0.14324 - 0.471183,741637,71,0.15777777777777777,0.0,0.056338028169014086,0.22535211267605634,0.5211267605633803
3,0.471183 - 0.799126,37179,2,0.0044444444444444444,0.0,0.0,0.0,0.0
4,0.799126 - 1.12707,602,0,0.0,0.0,0.0,0.0,0.0
