group_id,label,pen_diff,dist_diff,ppr_diff,bucket_pen,bucket_dist,bucket_ppr,pos_in_bucket_pen
0,1,0.4993629864234563,0.3710766423357667,-0.00018867921699,3.0,2.0,4.0,0.08598067623079376
0,0,0.6211423368959679,0.1909215328467151,-0.0006430603779254,3.0,2.0,4.0,0.45761682239700835
0,0,0.4950775265134481,0.2473540145985402,-0.0008332912666826,3.0,2.0,4.0,0.07290266424168612
0,0,0.5064624829777422,0.2543339416058394,-0.0073089614045864,3.0,2.0,3.0,0.10764633242716755
0,0,0.6743025048487645,0.428102189781022,-0.0079575234052559,3.0,2.0,3.0,0.6198466246653781
0,0,0.58045376139974,0.3697080291970804,-0.00737205009127,3.0,2.0,3.0,0.3334467941308088
0,0,0.6110803160978948,0.4688412408759124,-0.0016012300107402,3.0,2.0,4.0,0.42691037982254054
0,0,0.703168906037229,0.3960766423357658,-0.0049171241810121,3.0,2.0,3.0,0.7079387195053017
0,0,0.4734564024264402,0.2408302919708029,-0.0019404468811341,3.0,2.0,4.0,0.0069211066106092765
1,1,0.4727613811744238,0.3543795620437957,-0.0016906429516581,3.0,2.0,4.0,0.004800098257380253
1,0,0.6211423368959679,0.1909215328467151,-0.0006430603779254,3.0,2.0,4.0,0.45761682239700835
1,0,0.4950775265134481,0.2473540145985402,-0.0008332912666826,3.0,2.0,4.0,0.07290266424168612
1,0,0.5064624829777422,0.2543339416058394,-0.0073089614045864,3.0,2.0,3.0,0.10764633242716755
1,0,0.6743025048487645,0.428102189781022,-0.0079575234052559,3.0,2.0,3.0,0.6198466246653781
1,0,0.58045376139974,0.3697080291970804,-0.00737205009127,3.0,2.0,3.0,0.3334467941308088
1,0,0.6110803160978948,0.4688412408759124,-0.0016012300107402,3.0,2.0,4.0,0.42691037982254054
1,0,0.703168906037229,0.3960766423357658,-0.0049171241810121,3.0,2.0,3.0,0.7079387195053017
1,0,0.4734564024264402,0.2408302919708029,-0.0019404468811341,3.0,2.0,4.0,0.0069211066106092765
2,1,0.4442332253538428,0.4656934306569344,-0.0002818030929435,2.0,2.0,4.0,0.91782568227065
2,0,0.3892681983246113,0.1583485401459849,0.0001007226269926,2.0,2.0,4.0,0.7502196343966533
2,0,0.2546438802459292,0.1931113138686138,-0.0004098554871288,2.0,2.0,4.0,0.33970678430927237
2,0,0.1475890624355109,0.1632299270072992,-4.00492877749309e-05,2.0,2.0,4.0,0.013262208751572723
2,0,0.2036221763710592,0.3057025547445251,6.888369734150881e-05,2.0,2.0,4.0,0.1841251971717556
2,0,0.3094047022654873,0.2661952554744529,-0.0008214067420174,2.0,2.0,4.0,0.5066901454226634
2,0,0.2644760677588476,0.1481751824817521,-0.0024312572924751,2.0,2.0,4.0,0.3696882867311652
2,0,0.2018569388849886,0.2890967153284669,-2.3292922164850347e-05,2.0,2.0,4.0,0.17874242025722817
2,0,0.2503552180910233,0.2562043795620434,2.4695882589464708e-05,2.0,2.0,4.0,0.3266292738758056
3,1,0.3936457908636868,0.3093978102189778,-0.002630006348706,2.0,2.0,4.0,0.7635683221774658
3,0,0.3892681983246113,0.1583485401459849,0.0001007226269926,2.0,2.0,4.0,0.7502196343966533
3,0,0.2546438802459292,0.1931113138686138,-0.0004098554871288,2.0,2.0,4.0,0.33970678430927237
3,0,0.1475890624355109,0.1632299270072992,-4.00492877749309e-05,2.0,2.0,4.0,0.013262208751572723
