Model,Cancer,Recall@1,Recall@3,Recall@5,Recall@10,NDCG@5,NDCG@10
LightGBM,prostate,0.7380952380952381,0.9642857142857143,0.9880952380952381,1.0,0.8780685316023092,0.8823090933535953
XGBoost,prostate,0.6309523809523809,0.8571428571428571,0.9285714285714286,1.0,0.7955884332947982,0.8204871882364502
CatBoost,prostate,0.6071428571428571,0.7857142857142857,0.8928571428571429,1.0,0.7545138309696221,0.788708574673477
