feature,gain_importance,split_importance
dist_diff,11815.859651505947,982
pen_diff,9898.151280879974,778
ppr_diff,8109.781194806099,1114
pos_in_bucket_pen,4550.294837266207,821
bucket_dist,1226.0746717453003,13
bucket_ppr,40.55280113220215,3
bucket_pen,29.8279447555542,9
